,round,G2 Esports,F4Q,date,map,event
0,1,0,3,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
1,2,0,4,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
2,3,4,0,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
3,4,4,0,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
4,5,3,0,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
5,6,0,3,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
6,7,3,0,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
7,8,3,0,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
8,9,0,4,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
9,10,0,4,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
10,11,3,0,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
11,12,3,0,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
12,13,0,3,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
13,14,0,3,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
14,15,1,0,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
15,16,2,0,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
16,17,2,0,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
17,18,0,3,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
18,19,1,0,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
19,20,1,0,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
20,21,2,0,10-09-21,Haven,Valorant Champions Tour Stage 3: Masters Berlin
