,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,0,4,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
1,2,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
2,3,3,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
3,4,3,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
4,5,4,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
5,6,3,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
6,7,0,4,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
7,8,4,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
8,9,3,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
9,10,3,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
10,11,3,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
11,12,3,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
12,13,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
13,14,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
14,15,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
15,16,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
16,17,0,4,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
17,18,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
18,19,2,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
19,20,2,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
20,21,1,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
21,22,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
22,23,0,3,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
23,24,2,0,30-05-21,Haven,Valorant Champions Tour Stage 2: Masters Reykjavik,Sentinels,Fnatic
