,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser,matchid
0,1,0,3,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
1,2,0,3,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
2,3,3,0,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
3,4,0,4,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
4,5,4,0,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
5,6,0,3,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
6,7,0,4,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
7,8,3,0,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
8,9,3,0,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
9,10,0,3,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
10,11,4,0,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
11,12,0,3,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
12,13,0,3,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
13,14,0,3,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
14,15,0,3,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
15,16,0,3,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
16,17,1,0,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
17,18,0,3,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
18,19,0,3,26-05-21,Bind,Valorant Champions Tour Stage 2: Masters Reykjavik,Sharks Esports,KRÜ Esports,Sharks EsportsvsKRÜ Esports26-05-21
