,round,Vision Strikers,Acend,date,map,event
0,1,3,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
1,2,3,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
2,3,3,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
3,4,3,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
4,5,3,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
5,6,0,4,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
6,7,3,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
7,8,0,3,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
8,9,3,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
9,10,0,3,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
10,11,0,3,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
11,12,0,3,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
12,13,1,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
13,14,1,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
14,15,0,4,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
15,16,2,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
16,17,0,3,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
17,18,0,3,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
18,19,0,3,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
19,20,1,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
20,21,2,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
21,22,2,0,13-09-21,Icebox,Valorant Champions Tour Stage 3: Masters Berlin
