mapName,numRounds
"
							Breeze														,
								PICK
							,
												",18
,
"
							Split														,
								PICK
							,
												",19
"
							Breeze														,
								PICK
							,
												",21
,
,
"
							Breeze													",20
"
							Split													",24
"
							Icebox													",19
"
							Bind														,
								PICK
							,
												",21
"
							Fracture													",23
"
							Breeze													",23
"
							Bind													",19
,
,
,
,
,
,
,
"
							Bind														,
								PICK
							,
												",22
"
							Icebox														,
								PICK
							,
												",15
"
							Icebox														,
								PICK
							,
												",23
"
							Split														,
								PICK
							,
												",19
"
							Ascent														,
								PICK
							,
												",23
"
							Ascent														,
								PICK
							,
												",26
"
							Split														,
								PICK
							,
												",28
"
							Haven														,
								PICK
							,
												",26
,
,
,
,
,
,
,
,
"
							Icebox														,
								PICK
							,
												",26
,
"
							Icebox														,
								PICK
							,
												",18
,
"
							Split													",16
"
							Ascent														,
								PICK
							,
												",22
"
							Icebox														,
								PICK
							,
												",22
"
							Icebox														,
								PICK
							,
												",22
"
							Bind														,
								PICK
							,
												",21
"
							Split														,
								PICK
							,
												",26
"
							Ascent														,
								PICK
							,
												",16
,
,
,
,
,
,
,
